filename,title,college,level,url
Political_Studies_235.txt,Political Studies,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/political-studies/index.php
Politics_and_Law_Certificate.txt,Politics and Law Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/politics-law/index.php
Postgraduate_Medical_Training_Programs.txt,Postgraduate Medical Training Programs,Medicine,Undergraduate,https://programs.usask.ca/medicine/postgraduate-medical-training-programs/index.php
Practical_and_Applied_Arts.txt,Practical and Applied Arts,Education,Undergraduate,https://programs.usask.ca/education/certificate-in-practical-and-applied-arts/index.php
Prairie_Horticulture_Certificate.txt,Prairie Horticulture Certificate,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/prairie-horticulture/index.php
Precision_Agriculture_Certificate.txt,Precision Agriculture Certificate,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/precision-agriculture/index.php
Precision_Oral_and_Systemic_Health.txt,Precision Oral and Systemic Health,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/precision-oral-systemic-health/index.php
Professional_Communication_Leadership_and_Negotiation_Certificate.txt,Professional Communication ‐ Leadership and Negotiation Certificate,Engineering,Undergraduate,https://programs.usask.ca/engineering/professional-communication-leadership-negotiation/index.php
Professional_Communication_Persuasive_Communication_Certificate.txt,Professional Communication ‐ Persuasive Communication Certificate,Engineering,Undergraduate,https://programs.usask.ca/engineering/professional-communication-persuasive-communication/index.php
Professional_Communication_Technical_and_Professional_Writing_Certificate.txt,Professional Communication ‐ Technical and Professional Writing Certificate,Engineering,Undergraduate,https://programs.usask.ca/engineering/professional-communication-technical-professional-writing/index.php
Professional_Skills_Certificate.txt,Professional Skills Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/professional-skills-certificate/index.php
Psychology.txt,Psychology,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/psychology/index.php
Psychology_247.txt,Psychology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/psychology/index.php
Public_Administration.txt,Public Administration,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/public-administration/index.php
Public_Administration_Certificate.txt,Public Administration Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/public-administration-cert/index.php
Public_Health.txt,Public Health,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/public-health/index.php
Public_Health_Nursing.txt,Public Health Nursing,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/public-health-nursing/index.php
Public_Policy_Research_Certificate.txt,Public Policy Research Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/public-policy-research-cert/index.php
Quantitative_Geosciences_Certificate.txt,Quantitative Geosciences Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/quantitative-geosciences/index.php
Queer_Theory_Gender_Diversity_and_Sexualities_Studies_Certificate.txt,"Queer Theory, Gender Diversity, and Sexualities Studies Certificate",Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/queer-theory-gender-diversity-sexualities-studies/index.php
Rangeland_Resources.txt,Rangeland Resources,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/rangeland-resources/index.php
Regional_and_Urban_Planning.txt,Regional and Urban Planning,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/regional-and-urban-planning/index.php
Religion_and_Culture.txt,Religion and Culture,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/religion-culture/index.php
Religion_and_Culture_258.txt,Religion and Culture,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/religion-and-culture/index.php
Religious_Literacy_Certificate.txt,Religious Literacy Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/religious-literacy/index.php
Resource_Economics_and_Policy.txt,Resource Economics and Policy,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/resource-economics-and-policy/index.php
Resource_Science.txt,Resource Science,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/resource-science/index.php
STEM_Accelerator_Certificate.txt,STEM Accelerator Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/stem-accelerator/index.php
Saskatchewan_Urban_Native_Teacher_Education_Program.txt,Saskatchewan Urban Native Teacher Education Program,Education,Undergraduate,https://programs.usask.ca/education/suntep/index.php
Scholarship_of_Teaching_and_Learning.txt,Scholarship of Teaching and Learning,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/scholarship-teaching-learning/index.php
Secondary_Technical_Vocational_Education.txt,Secondary Technical Vocational Education,Education,Undergraduate,https://programs.usask.ca/education/certificate-in-secondary-technical-vocational-education/index.php
Sedimentary_Geology_Certificate.txt,Sedimentary Geology Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/sedimentary-geology/index.php
Small_Animal_Clinical_Sciences.txt,Small Animal Clinical Sciences,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/small-animal-clinical-sciences/index.php
Small_Animal_Rotating_Veterinary_Internship.txt,Small Animal Rotating Veterinary Internship,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/small-animal-rotating-internship-certificate/index.php
